date,county,fips,confirmed,deaths
4/3/2020,Cayuga,0500000US36011,6,0
4/3/2020,Chautauqua,0500000US36013,10,1
4/3/2020,Chemung,0500000US36015,22,0
4/3/2020,Chenango,0500000US36017,28,0
4/3/2020,Clinton,0500000US36019,25,0
4/3/2020,Columbia,0500000US36021,41,2
4/3/2020,Cortland,0500000US36023,10,0
4/3/2020,Delaware,0500000US36025,23,1
4/3/2020,Dutchess,0500000US36027,809,9
4/3/2020,Erie,0500000US36029,802,22
4/3/2020,Essex,0500000US36031,6,0
4/3/2020,Franklin,0500000US36033,9,0
4/3/2020,Fulton,0500000US36035,6,0
4/3/2020,Genesee,0500000US36037,17,1
4/3/2020,Greene,0500000US36039,21,0
4/3/2020,Hamilton,0500000US36041,2,0
4/3/2020,Herkimer,0500000US36043,16,2
4/3/2020,Jefferson,0500000US36045,15,0
4/3/2020,Lewis,0500000US36049,3,0
4/3/2020,Livingston,0500000US36051,18,1
4/3/2020,Madison,0500000US36053,77,2
4/3/2020,Monroe,0500000US36055,464,14
4/3/2020,Montgomery,0500000US36057,8,0
4/3/2020,Nassau,0500000US36059,12024,138
4/3/2020,New York City,0500000US,57160,1867
4/3/2020,Niagara,0500000US36063,91,0
4/3/2020,Oneida,0500000US36065,68,1
4/3/2020,Onondaga,0500000US36067,301,2
4/3/2020,Ontario,0500000US36069,31,0
4/3/2020,Orange,0500000US36071,2397,30
4/3/2020,Orleans,0500000US36073,6,0
4/3/2020,Oswego,0500000US36075,28,2
4/3/2020,Otsego,0500000US36077,21,1
4/3/2020,Putnam,0500000US36079,236,0
4/3/2020,Rensselaer,0500000US36083,71,1
4/3/2020,Rockland,0500000US36087,4289,42
4/3/2020,Saratoga,0500000US36091,132,1
4/3/2020,Schenectady,0500000US36093,101,5
4/3/2020,Schoharie,0500000US36095,8,0
4/3/2020,Schuyler,0500000US36097,3,0
4/3/2020,Seneca,0500000US36099,5,0
4/3/2020,St. Lawrence,0500000US36089,42,0
4/3/2020,Steuben,0500000US36101,49,1
4/3/2020,Suffolk,0500000US36103,10154,96
4/3/2020,Sullivan,0500000US36105,156,5
4/3/2020,Tioga,0500000US36107,8,0
4/3/2020,Tompkins,0500000US36109,87,0
4/3/2020,Ulster,0500000US36111,243,3
4/3/2020,Unknown,0500000US,37,608
4/3/2020,Warren,0500000US36113,19,0
4/3/2020,Washington,0500000US36115,13,0
4/3/2020,Wayne,0500000US36117,27,0
4/3/2020,Westchester,0500000US36119,12350,67
4/3/2020,Wyoming,0500000US36121,15,1
4/3/2020,Yates,0500000US36123,2,0
4/4/2020,Albany,0500000US36001,293,6
4/4/2020,Allegany,0500000US36003,16,1
4/4/2020,Broome,0500000US36007,65,4
4/4/2020,Cattaraugus,0500000US36009,8,0
4/4/2020,Cayuga,0500000US36011,8,0
4/4/2020,Chautauqua,0500000US36013,12,0
4/4/2020,Chemung,0500000US36015,36,0
4/4/2020,Chenango,0500000US36017,39,0
4/4/2020,Clinton,0500000US36019,31,0
4/4/2020,Columbia,0500000US36021,61,3
4/4/2020,Cortland,0500000US36023,14,0
4/4/2020,Delaware,0500000US36025,30,1
4/4/2020,Dutchess,0500000US36027,938,11
4/4/2020,Erie,0500000US36029,945,26
4/4/2020,Essex,0500000US36031,7,0
4/4/2020,Franklin,0500000US36033,10,0
4/4/2020,Fulton,0500000US36035,9,0
4/4/2020,Genesee,0500000US36037,21,1
4/4/2020,Greene,0500000US36039,27,0
4/4/2020,Hamilton,0500000US36041,2,0
4/4/2020,Herkimer,0500000US36043,22,3
4/4/2020,Jefferson,0500000US36045,20,0
4/4/2020,Lewis,0500000US36049,5,0
4/4/2020,Livingston,0500000US36051,18,1
4/4/2020,Madison,0500000US36053,77,2
4/4/2020,Monroe,0500000US36055,512,17
4/4/2020,Montgomery,0500000US36057,13,1
4/4/2020,Nassau,0500000US36059,13346,396
4/4/2020,New York City,0500000US,63307,2254
