Thu Sep 24 01:37:15 +0000 2020,,@BrianKarem @Ithaca01Jeffrey @PressSec @realDonaldTrump Trump follows the constitution! Joe will drag your scummy ass into hell with him,1285240821244211206,Always Love,0
Thu Sep 24 01:37:15 +0000 2020,RT @EvanAKilgore,Two police officers were just shot in downtown Louisville and Mitt Romney is crying about a question Trump was asked earlier.,3004827246,Cindy J Tyler✝️🇺🇸,3157
Thu Sep 24 01:37:15 +0000 2020,RT @SpiroAgnewGhost,So true!,2900139381,Joani Sparkles 🇺🇸🌊😷 Teammate,6443
Thu Sep 24 01:37:15 +0000 2020,RT @Admphil,70million to University of Pennsylvania from China . Money washed thru to Bidens. Corruption!🤬😈🤬 @LouDobbs @realDonaldTrump @kayleighmcenany @IngrahamAngle @TrumpWarRoom @TuckerCarlson https://t.co/hAUYFAWQUi,73048382,Sharon Knapik,2483
Thu Sep 24 01:37:15 +0000 2020,RT @ChrisCoons,"I’ve long said that when the US steps back from its global leadership role, China is ready &amp; willing to step in. Pres. Trump’s showing at #UNGA is a symptom of our declining willingness to lead in international bodies, which almost always leads to the detriment of U.S. interests.",197250180,Marc Cyclone Jones,550
Thu Sep 24 01:37:15 +0000 2020,,Senate Probe -- John Kerry Falsely Claimed He Had No Knowledge of Hunter Biden's Role in Burisma | National Review https://t.co/NW5zP9OzWu,781691036825423873,Wayne Sida,1258
Thu Sep 24 01:37:15 +0000 2020,RT @lindyli,"🚨🚨🚨  @BrianKarem : ""Win, lose or draw in this election, will you commit here today for a peaceful transferal of power after the election?""  Trump: ""We're going to have to see what happens”  RT if you will NEVER accept a #TrumpCoupPlot  https://t.co/DzBa1keEDn",4705502727,Sam B,18361
Thu Sep 24 01:37:15 +0000 2020,RT @ScottMStedman,A company part-owned by Hunter Biden got $3.5 million from a Russian billionaire while he had no political job.  A company part-owned by Jared Kushner got $90 million from unknown offshore shell companies while he was Trump’s senior aide with a top secret security clearance.,131013315,Haralds Dad,578
Thu Sep 24 01:37:15 +0000 2020,RT @VonnieCalland,"This is no good, folks. —————————————  Trump: “The ballots are a disaster.”  Reporter: “Do you commit to a peaceful transfer of power?”   Trump: “Get rid of the ballots and you’ll have a very peaceful... there won’t BE a transfer of power, frankly.  There’ll be a continuation.”",2995221770,@RumAndDiabetes,1524
Thu Sep 24 01:37:15 +0000 2020,RT @EricMMatheny,"I feel like everybody grew up with a Hunter Biden. You know the type. Got a BMW for a high school graduation gift. Nose like a Hoover vacuum. Pink Lacoste with a popped collar. The loudest guy in any room. Used the phrase ""do you know who my dad is"" to get out of a ticket.",826071866162999298,CLLslp,1209
Thu Sep 24 01:37:15 +0000 2020,RT @DonaldJTrumpJr,I wonder if New York’s Attorney General @TishJames will go after Hunter Biden now that We know he took $3.5 million from the wife of the mayor of Moscow a known PUTIN  associate?   You would think that’d be something they’d be interested in... that and the sex trafficking!,910242129389215744,Enrique Colon Jr,12080
Thu Sep 24 01:37:15 +0000 2020,RT @ArthurSchwartz,Biden again refuses to answer if he’ll pack the Supreme Court if elected. https://t.co/U6OAmEo2Rf,601257300,Harold,163
Thu Sep 24 01:37:15 +0000 2020,,"@pblowe2 @trish_regan hasn’t been allowed access to Biden after 12pm. Shutting off at noon🤨. I’m wondering if he’s having “sundowning” episodes. I’m not saying any of this to be mean. I feel he should be checked on by someone outside politics,for his well being.",119236530,Georgia Kelly,400
Thu Sep 24 01:37:16 +0000 2020,RT @ifindkarma,"President* Trump is using the Supreme Court to destroy the Affordable Care Act and remove its preexisting condition protections. When he says “we’re signing a healthcare plan within two weeks,” THAT’S A LIE. DO NOT BELIEVE HIM. #TrumpsSheep @donwinslow   https://t.co/paG3N40WkP",1307701327007416322,NastyPaulette@Paulette,131
Thu Sep 24 01:37:16 +0000 2020,RT @DebraMessing,The Trump campaign is discussing plans to ask state representatives to set aside the election results in their state and select Trump electors *even if Trump loses the vote in their state.*  That would be the death of American democracy. That is not an overstatement. It’s a fact.,22109426,Chris Olds,6361
